strike,expiry,poc,futures,value_date,rate,rate_basis,settlement,day_count
1260,2020-09-30,call,1577,2020-07-15,10.00,Money Market,315.80,Actual/365
1280,2020-09-30,call,1577,2020-07-15,10.00,Money Market,295.90,Actual/365
1300,2020-09-30,call,1577,2020-07-15,10.00,Money Market,276.00,Actual/365
1320,2020-09-30,call,1577,2020-07-15,10.00,Money Market,256.00,Actual/365
1340,2020-09-30,call,1577,2020-07-15,10.00,Money Market,236.10,Actual/365
1360,2020-09-30,call,1577,2020-07-15,10.00,Money Market,216.30,Actual/365
1380,2020-09-30,call,1577,2020-07-15,10.00,Money Market,196.50,Actual/365
1400,2020-09-30,call,1577,2020-07-15,10.00,Money Market,176.80,Actual/365
1420,2020-09-30,call,1577,2020-07-15,10.00,Money Market,157.40,Actual/365
1440,2020-09-30,call,1577,2020-07-15,10.00,Money Market,138.40,Actual/365
1460,2020-09-30,call,1577,2020-07-15,10.00,Money Market,119.90,Actual/365
1480,2020-09-30,call,1577,2020-07-15,10.00,Money Market,102.20,Actual/365
1500,2020-09-30,call,1577,2020-07-15,10.00,Money Market,85.60,Actual/365
1520,2020-09-30,call,1577,2020-07-15,10.00,Money Market,70.20,Actual/365
1540,2020-09-30,call,1577,2020-07-15,10.00,Money Market,56.40,Actual/365
1560,2020-09-30,call,1577,2020-07-15,10.00,Money Market,44.20,Actual/365
1580,2020-09-30,call,1577,2020-07-15,10.00,Money Market,33.90,Actual/365
1600,2020-09-30,call,1577,2020-07-15,10.00,Money Market,25.30,Actual/365
1620,2020-09-30,call,1577,2020-07-15,10.00,Money Market,18.40,Actual/365
1640,2020-09-30,call,1577,2020-07-15,10.00,Money Market,13.00,Actual/365
1660,2020-09-30,call,1577,2020-07-15,10.00,Money Market,9.00,Actual/365
1280,2020-12-31,call,1563,2020-07-15,10.00,Money Market,281.50,Actual/365
1300,2020-12-31,call,1563,2020-07-15,10.00,Money Market,261.90,Actual/365
1320,2020-12-31,call,1563,2020-07-15,10.00,Money Market,242.40,Actual/365
1340,2020-12-31,call,1563,2020-07-15,10.00,Money Market,223.20,Actual/365
1360,2020-12-31,call,1563,2020-07-15,10.00,Money Market,204.20,Actual/365
1380,2020-12-31,call,1563,2020-07-15,10.00,Money Market,185.60,Actual/365
1400,2020-12-31,call,1563,2020-07-15,10.00,Money Market,167.40,Actual/365
1420,2020-12-31,call,1563,2020-07-15,10.00,Money Market,149.90,Actual/365
1440,2020-12-31,call,1563,2020-07-15,10.00,Money Market,133.10,Actual/365
1460,2020-12-31,call,1563,2020-07-15,10.00,Money Market,117.10,Actual/365
1480,2020-12-31,call,1563,2020-07-15,10.00,Money Market,102.10,Actual/365
1500,2020-12-31,call,1563,2020-07-15,10.00,Money Market,88.20,Actual/365
1520,2020-12-31,call,1563,2020-07-15,10.00,Money Market,75.40,Actual/365
1540,2020-12-31,call,1563,2020-07-15,10.00,Money Market,63.70,Actual/365
1560,2020-12-31,call,1563,2020-07-15,10.00,Money Market,53.30,Actual/365
1580,2020-12-31,call,1563,2020-07-15,10.00,Money Market,44.10,Actual/365
1600,2020-12-31,call,1563,2020-07-15,10.00,Money Market,36.10,Actual/365
1620,2020-12-31,call,1563,2020-07-15,10.00,Money Market,29.20,Actual/365
1640,2020-12-31,call,1563,2020-07-15,10.00,Money Market,23.40,Actual/365
1390,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1400,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1410,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1420,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1430,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1440,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1450,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1460,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1470,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1480,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1490,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1500,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.10,Actual/365
1510,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.30,Actual/365
1520,2020-07-30,put,1590,2020-07-15,10.00,Money Market,0.50,Actual/365
1530,2020-07-30,put,1590,2020-07-15,10.00,Money Market,1.00,Actual/365
1540,2020-07-30,put,1590,2020-07-15,10.00,Money Market,1.80,Actual/365
1550,2020-07-30,put,1590,2020-07-15,10.00,Money Market,3.10,Actual/365
1560,2020-07-30,put,1590,2020-07-15,10.00,Money Market,5.00,Actual/365
1570,2020-07-30,put,1590,2020-07-15,10.00,Money Market,7.70,Actual/365
1580,2020-07-30,put,1590,2020-07-15,10.00,Money Market,11.20,Actual/365
1590,2020-07-30,put,1590,2020-07-15,10.00,Money Market,15.80,Actual/365
1600,2020-07-30,put,1590,2020-07-15,10.00,Money Market,21.30,Actual/365
1610,2020-07-30,put,1590,2020-07-15,10.00,Money Market,27.80,Actual/365
1620,2020-07-30,put,1590,2020-07-15,10.00,Money Market,35.20,Actual/365
1630,2020-07-30,put,1590,2020-07-15,10.00,Money Market,43.30,Actual/365
1640,2020-07-30,put,1590,2020-07-15,10.00,Money Market,52.00,Actual/365
1650,2020-07-30,put,1590,2020-07-15,10.00,Money Market,61.20,Actual/365
1660,2020-07-30,put,1590,2020-07-15,10.00,Money Market,70.60,Actual/365
1670,2020-07-30,put,1590,2020-07-15,10.00,Money Market,80.30,Actual/365
1440,2020-08-28,put,1585,2020-07-15,10.00,Money Market,0.30,Actual/365
1450,2020-08-28,put,1585,2020-07-15,10.00,Money Market,0.40,Actual/365
1460,2020-08-28,put,1585,2020-07-15,10.00,Money Market,0.70,Actual/365
1470,2020-08-28,put,1585,2020-07-15,10.00,Money Market,1.00,Actual/365
1480,2020-08-28,put,1585,2020-07-15,10.00,Money Market,1.50,Actual/365
1490,2020-08-28,put,1585,2020-07-15,10.00,Money Market,2.10,Actual/365
1500,2020-08-28,put,1585,2020-07-15,10.00,Money Market,3.00,Actual/365
1510,2020-08-28,put,1585,2020-07-15,10.00,Money Market,4.20,Actual/365
1520,2020-08-28,put,1585,2020-07-15,10.00,Money Market,5.70,Actual/365
1530,2020-08-28,put,1585,2020-07-15,10.00,Money Market,7.60,Actual/365
1540,2020-08-28,put,1585,2020-07-15,10.00,Money Market,9.90,Actual/365
1550,2020-08-28,put,1585,2020-07-15,10.00,Money Market,12.70,Actual/365
1560,2020-08-28,put,1585,2020-07-15,10.00,Money Market,16.00,Actual/365
1570,2020-08-28,put,1585,2020-07-15,10.00,Money Market,19.90,Actual/365
1580,2020-08-28,put,1585,2020-07-15,10.00,Money Market,24.40,Actual/365
1590,2020-08-28,put,1585,2020-07-15,10.00,Money Market,29.50,Actual/365
1600,2020-08-28,put,1585,2020-07-15,10.00,Money Market,35.10,Actual/365
1610,2020-08-28,put,1585,2020-07-15,10.00,Money Market,41.40,Actual/365
1620,2020-08-28,put,1585,2020-07-15,10.00,Money Market,48.10,Actual/365
1630,2020-08-28,put,1585,2020-07-15,10.00,Money Market,55.40,Actual/365
1640,2020-08-28,put,1585,2020-07-15,10.00,Money Market,63.10,Actual/365
1650,2020-08-28,put,1585,2020-07-15,10.00,Money Market,71.20,Actual/365
1660,2020-08-28,put,1585,2020-07-15,10.00,Money Market,79.70,Actual/365
1140,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1160,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1180,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1200,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1220,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1240,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1260,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1280,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1300,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1320,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1340,2020-09-30,put,1577,2020-07-15,10.00,Money Market,1.50,Actual/365
1360,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.10,Actual/365
1380,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.30,Actual/365
1400,2020-09-30,put,1577,2020-07-15,10.00,Money Market,0.50,Actual/365
1420,2020-09-30,put,1577,2020-07-15,10.00,Money Market,1.00,Actual/365
1440,2020-09-30,put,1577,2020-07-15,10.00,Money Market,1.90,Actual/365
1460,2020-09-30,put,1577,2020-07-15,10.00,Money Market,3.40,Actual/365
1480,2020-09-30,put,1577,2020-07-15,10.00,Money Market,5.60,Actual/365
1500,2020-09-30,put,1577,2020-07-15,10.00,Money Market,8.90,Actual/365
1520,2020-09-30,put,1577,2020-07-15,10.00,Money Market,13.40,Actual/365
1540,2020-09-30,put,1577,2020-07-15,10.00,Money Market,19.50,Actual/365
1560,2020-09-30,put,1577,2020-07-15,10.00,Money Market,27.30,Actual/365
1580,2020-09-30,put,1577,2020-07-15,10.00,Money Market,36.90,Actual/365
1600,2020-09-30,put,1577,2020-07-15,10.00,Money Market,48.20,Actual/365
1620,2020-09-30,put,1577,2020-07-15,10.00,Money Market,61.20,Actual/365
1640,2020-09-30,put,1577,2020-07-15,10.00,Money Market,75.80,Actual/365
1660,2020-09-30,put,1577,2020-07-15,10.00,Money Market,91.60,Actual/365
1280,2020-12-31,put,1563,2020-07-15,10.00,Money Market,0.30,Actual/365
1300,2020-12-31,put,1563,2020-07-15,10.00,Money Market,0.60,Actual/365
1320,2020-12-31,put,1563,2020-07-15,10.00,Money Market,0.90,Actual/365
1340,2020-12-31,put,1563,2020-07-15,10.00,Money Market,1.50,Actual/365
1360,2020-12-31,put,1563,2020-07-15,10.00,Money Market,2.40,Actual/365
1380,2020-12-31,put,1563,2020-07-15,10.00,Money Market,3.60,Actual/365
1400,2020-12-31,put,1563,2020-07-15,10.00,Money Market,5.30,Actual/365
1420,2020-12-31,put,1563,2020-07-15,10.00,Money Market,7.60,Actual/365
1440,2020-12-31,put,1563,2020-07-15,10.00,Money Market,10.60,Actual/365
1460,2020-12-31,put,1563,2020-07-15,10.00,Money Market,14.50,Actual/365
1480,2020-12-31,put,1563,2020-07-15,10.00,Money Market,19.30,Actual/365
1500,2020-12-31,put,1563,2020-07-15,10.00,Money Market,25.20,Actual/365
1520,2020-12-31,put,1563,2020-07-15,10.00,Money Market,32.20,Actual/365
1540,2020-12-31,put,1563,2020-07-15,10.00,Money Market,40.40,Actual/365
1560,2020-12-31,put,1563,2020-07-15,10.00,Money Market,49.90,Actual/365
1580,2020-12-31,put,1563,2020-07-15,10.00,Money Market,60.50,Actual/365
1600,2020-12-31,put,1563,2020-07-15,10.00,Money Market,72.30,Actual/365
1620,2020-12-31,put,1563,2020-07-15,10.00,Money Market,85.30,Actual/365
1640,2020-12-31,put,1563,2020-07-15,10.00,Money Market,99.20,Actual/365
